SRS,host_subject_id
SRS1719376,E002338
SRS1719377,P015163
SRS1719378,T016548
SRS1719379,E004781
SRS1719380,E005804
SRS1719381,T019021
SRS1719382,T023909
SRS1719383,T023390
SRS1719384,E009020
SRS1719385,E019187
SRS1719386,T014806
SRS1719387,E012678
SRS1719388,E019793
SRS1719389,E009676
SRS1719390,E033156
SRS1719391,E033156
SRS1719392,E020781
SRS1719393,T028183
SRS1719394,P000648
SRS1719395,E012124
SRS1719396,P020604
SRS1719397,P007649
SRS1719398,P013701
SRS1719399,E018421
SRS1719400,P014713
SRS1719401,P014839
SRS1719402,P009291
SRS1719403,P013823
SRS1719404,P009291
SRS1719405,E032745
SRS1719406,T019852
SRS1719407,E018574
SRS1719408,E016870
SRS1719409,P019222
SRS1719410,P015656
SRS1719411,E022083
SRS1719412,P019475
SRS1719413,E020808
SRS1719414,P019475
SRS1719415,P013823
SRS1719416,P013823
SRS1719417,P013823
SRS1719418,P000756
SRS1719419,P011108
SRS1719420,P000756
SRS1719421,P000756
SRS1719422,P009291
SRS1719423,P009219
SRS1719424,E015378
SRS1719425,E015991
SRS1719426,E022960
SRS1719427,E012115
SRS1719428,E015991
SRS1719429,E012115
SRS1719430,E013394
SRS1719431,E023705
SRS1719432,E020682
SRS1719433,E015991
SRS1719434,E011183
SRS1719435,E011183
SRS1719436,P010936
SRS1719437,P004113
SRS1719438,P004113
SRS1719439,P004113
SRS1719440,E033036
SRS1719441,T003353
SRS1719442,T012983
SRS1719443,T024121
SRS1719444,T026211
SRS1719445,E016148
SRS1719446,P005558
SRS1719447,P005558
SRS1719448,P007649
SRS1719449,P026562
SRS1719450,P026562
SRS1719451,P010936
SRS1719452,T019031
SRS1719453,P000675
SRS1719454,E012678
SRS1719455,E016148
SRS1719456,P005558
SRS1719457,P005558
SRS1719458,P014839
SRS1719459,P008119
SRS1719460,P000756
SRS1719461,P008633
SRS1719462,P015163
SRS1719463,P008633
SRS1719464,P014839
SRS1719465,T016834
SRS1719466,P014839
SRS1719467,P019475
SRS1719468,E034324
SRS1719469,T028029
SRS1719470,E029310
SRS1719471,E029310
SRS1719472,P005342
SRS1719473,P017671
SRS1719474,P021772
SRS1719475,E017049
SRS1719476,P016803
SRS1719477,T013828
SRS1719478,P014839
SRS1719479,E031941
SRS1719480,E018574
SRS1719481,E017715
SRS1719482,P022384
SRS1719483,E025671
SRS1719484,P010096
SRS1719485,T014806
SRS1719486,E030828
SRS1719487,E019187
SRS1719488,P015091
SRS1719489,T006266
SRS1719490,T010532
SRS1719491,P015163
SRS1719492,P014605
SRS1719493,P020631
SRS1719494,E020781
SRS1719495,T028183
SRS1719496,E020808
SRS1719497,E007980
SRS1719498,T005507
SRS1719499,P016803
SRS1719500,P020861
SRS1719501,P022384
SRS1719502,E022960
SRS1719503,T029687
SRS1719504,P000648
SRS1719505,P007649
SRS1719506,E018574
SRS1719507,P015163
SRS1719508,E022960
SRS1719509,P017743
SRS1719510,E020781
SRS1719511,E013394
SRS1719512,P005279
SRS1719513,T004341
SRS1719514,P003173
SRS1719515,E007303
SRS1719516,P019854
SRS1719517,P003173
SRS1719518,P008119
SRS1719519,P017671
SRS1719520,P014839
SRS1719521,P022384
SRS1719522,E018421
SRS1719523,P006035
SRS1719524,P015091
SRS1719525,E016870
SRS1719526,P008579
SRS1719527,E022960
SRS1719528,P016803
SRS1719529,E019349
SRS1719530,P017743
SRS1719531,T022883
SRS1719532,P018832
SRS1719533,P008543
SRS1719534,P010096
SRS1719535,P000648
SRS1719536,P009880
SRS1719537,E018421
SRS1719538,E012678
SRS1719539,P005135
SRS1719540,P005135
SRS1719541,P010096
SRS1719542,T006288
SRS1719543,P008543
SRS1719544,P008543
SRS1719545,P009746
SRS1719546,P018832
SRS1719547,P013823
SRS1719548,P010096
SRS1719549,P009746
SRS1719550,T019850
SRS1719551,P009291
SRS1719552,T020231
SRS1719553,T003950
SRS1719554,P009746
SRS1719555,P008579
SRS1719556,E009667
SRS1719557,P015163
SRS1719558,T029687
SRS1719559,E012678
SRS1719560,T029687
SRS1719561,P018832
SRS1719562,E033036
SRS1719563,E033036
SRS1719564,T020231
SRS1719565,P014839
SRS1719566,T011676
SRS1719567,P009291
SRS1719568,P008579
SRS1719569,P001307
SRS1719570,T019850
SRS1719571,T013832
SRS1719572,E012124
SRS1719573,E012124
SRS1719574,E012124
SRS1719575,P014839
